U,sigma_U,TI
1.58403,0.20719,0.13079929041747948
1.2674,0.0903359,0.07127655041817894
0.73247,0.24753,0.33793875517086025
0.943367,0.0837405,0.0887676800227271
1.04726,0.0669181,0.06389826786089413
0.908114,0.101333,0.11158621054184828
0.45134,0.147766,0.3273939823636283
0.560909,0.150764,0.2687851327042355
0.562922,0.107956,0.19177790173416565
0.591475,0.15012,0.25380616255970245
0.558194,0.0604722,0.1083354532653522
0.7151,0.0677569,0.0947516431268354
0.65499,0.0709708,0.10835402067207134
1.07073,0.156539,0.14619838801565288
1.20975,0.167169,0.1381847489150651
1.81307,0.248507,0.13706420601521177
2.2638,0.0844381,0.0372992755543776
2.43768,0.0935669,0.03838358603262118
3.08373,0.324587,0.10525791817052725
3.71936,0.270233,0.07265577948894433
4.57669,0.215876,0.04716858690450959
4.57029,0.427965,0.0936406661284076
5.34626,0.251923,0.047121352122792386
5.561,0.450832,0.08107031109512677
6.39897,0.341123,0.05330904817494066
7.63234,0.685461,0.08981007135426357
7.57488,0.400839,0.05291687789113491
7.18583,0.353185,0.049150202551410206
7.17079,0.329464,0.04594528636314827
8.12869,0.663391,0.08161105910054386
8.93957,0.425032,0.047545016147309105
8.53401,0.374324,0.043862615581655044
9.03086,0.613226,0.06790338904600447
10.0045,0.328358,0.032821030536258684
10.535,0.335215,0.031819174181300425
9.21969,0.896154,0.0972000143171842
7.44289,0.365267,0.049075963772136896
7.33807,0.278068,0.03789388762985362
7.20623,0.313648,0.04352456138646699
7.62202,0.398041,0.05222250794408831
7.09564,0.356582,0.050253676905818216
7.06913,0.61965,0.08765576527804694
8.39319,0.558078,0.06649176296497517
7.15257,0.449056,0.06278246839947041
8.1008,0.394804,0.04873642109421292
8.21487,0.399288,0.048605516581516205
8.14707,0.484391,0.05945585345406386
8.07374,0.48071,0.059539940597542154
8.63444,0.476878,0.055229754332649254
9.35852,0.242,0.02585878963767775
9.86897,0.245735,0.024899761575929408
9.97041,0.270841,0.027164479695418745
10.0886,0.378056,0.03747358404535813
10.6266,0.698549,0.06573588918374644
12.0608,0.454289,0.03766657269832847
13.159,0.58704,0.04461129265141728
13.5817,0.60897,0.04483753874699044
13.2948,0.45503,0.03422616361284111
12.9037,0.616468,0.04777451428659996
12.6206,0.6532,0.051756651823209675
12.771,0.51963,0.040688278130138596
13.3332,0.553064,0.04148021480214802
14.059,0.452201,0.03216452094743581
14.5617,0.445462,0.030591345790670046
14.8859,0.459223,0.03084952874868164
15.4426,0.594818,0.03851799567430354
15.916,0.752697,0.04729184468459412
14.1959,0.754076,0.053119280919138624
13.642,0.659157,0.048318208473830816
14.2221,0.521233,0.03664951026922887
13.6564,0.549221,0.040217114320025775
13.0409,0.625477,0.04796271729711906
13.1275,0.773652,0.05893368882117692
13.7905,0.75548,0.05478264022334216
13.5075,0.703396,0.05207447714232834
12.931,0.743968,0.057533678756476685
13.1519,0.878485,0.0667952919350056
14.1866,0.971597,0.06848695247628044
15.2375,1.42609,0.09359081214109927
13.9503,1.1245,0.08060758549995341
14.7092,1.32155,0.08984513093846029
13.3995,0.910757,0.06796947647300274
14.6701,1.23808,0.08439478940157191
15.6589,0.705699,0.04506695872634732
15.4352,1.01556,0.0657950658235721
16.3383,0.728315,0.04457715919036864
15.9156,0.561698,0.03529229183945312
15.5194,0.976372,0.06291299921388714
17.0152,0.859817,0.050532288777093426
15.0844,1.28673,0.0853020338893161
17.9065,1.12726,0.06295255912657415
17.7962,0.895051,0.05029450107326284
17.1893,0.721845,0.04199385664337699
16.9542,0.981097,0.0578674900614597
17.6218,1.21919,0.06918646222292842
17.9775,1.2418,0.06907523293005145
18.5513,1.31504,0.0708866764054271
18.5927,1.80601,0.0971354348749778
18.9038,1.52768,0.08081338143653656
17.973,1.15015,0.06399321204028265
17.3882,1.28457,0.07387596185919186
17.0256,1.28758,0.07562611596654449
15.7409,1.1554,0.07340113970611592
15.226,1.08422,0.0712084592145015
15.1882,1.24236,0.08179771138120383
13.879,1.15094,0.08292672382736509
14.0965,1.22802,0.08711524137197175
14.3427,1.15942,0.08083694144059346
15.033,1.34748,0.08963480343244862
13.5669,1.09344,0.08059615682285562
13.1215,1.23968,0.09447700339138056
13.6798,1.01746,0.07437681837453763
14.7752,0.583026,0.03945977042611944
15.8104,1.22237,0.0773142994484643
17.4412,1.84698,0.10589752998646883
18.7223,1.64813,0.08803031678800148
17.1781,1.41957,0.08263835930632607
17.0851,1.09012,0.06380530403685082
14.751,1.38368,0.09380245407091045
14.3907,1.58773,0.11033028275205514
16.383,1.45834,0.08901544283708723
17.5085,1.4121,0.08065225461918496
17.2034,1.75889,0.10224083611379148
17.9674,1.43315,0.07976390574039649
17.8028,1.13237,0.06360628665153796
18.8636,0.954613,0.0506060879153502
17.4861,1.23666,0.07072245955358829
16.7887,1.37792,0.08207425232448017
17.6663,1.24439,0.07043863174518718
16.2789,1.13927,0.06998445840935198
14.9855,1.12973,0.07538820860164826
14.9751,1.35434,0.09043946284165048
15.254,1.92122,0.1259486036449456
15.9979,1.32168,0.08261584332943699
15.9219,1.20873,0.07591619090686413
15.2332,1.54511,0.10143042827508338
14.3462,1.68366,0.11735930072074835
15.1975,1.01938,0.06707550583977627
14.3043,1.31767,0.0921170557105206
16.4275,1.08345,0.06595343174554863
16.5547,1.05224,0.0635614055222988
16.0212,0.938763,0.058595049059995505
15.8109,1.19435,0.07553965934893017
14.2717,1.24521,0.08725029253697877
14.8074,1.32772,0.08966597782189986
16.2987,0.985101,0.06044046457692945
15.506,1.17019,0.07546691603250355
15.6306,0.912942,0.05840735480403824
13.926,1.23126,0.08841447651874192
16.8481,2.11016,0.12524617019129755
17.771,1.43928,0.08099037758145292
15.5274,1.46955,0.094642374125739
16.4052,1.40872,0.08587033379660107
15.6437,2.02519,0.129457225592411
16.1302,0.987417,0.061215422003446957
16.2629,0.882977,0.054293945114340006
15.0095,1.84634,0.12301142609680538
15.8715,1.60736,0.10127335160507828
15.7396,0.89055,0.056580218048743296
16.5752,1.4119,0.08518147593995849
17.8986,1.9516,0.10903646095225326
15.8579,1.41594,0.08928925015292062
16.1988,1.54266,0.0952329802207571
16.3702,0.786901,0.048069113388962866
15.5733,1.05335,0.06763820128039658
15.1559,1.09931,0.07253346881412519
15.5677,1.38535,0.08898873950551463
15.2741,1.90734,0.12487413333682508
16.0452,1.06344,0.06627776531299079
15.7172,1.6168,0.10286819535286183
18.1303,1.71784,0.0947496731990094
18.6236,1.41446,0.0759498700573466
18.9089,1.26736,0.06702452284374026
17.9157,1.28863,0.07192741561870314
17.6168,1.31253,0.07450445029744335
17.0918,1.57005,0.09185983922114699
18.1776,1.57786,0.08680243816565443
16.6968,1.28874,0.07718484979157683
17.9725,1.70966,0.09512644317707608
18.301,1.05164,0.05746352658324682
16.258,1.79482,0.11039611268298685
17.6204,1.17305,0.06657340355497036
17.3297,1.0852,0.06262081859466696
16.8772,1.37102,0.08123503898750978
16.6415,1.91776,0.11523961181383889
16.3216,1.84596,0.11309920596019998
18.1559,1.16664,0.06425679806564256
18.1208,1.54653,0.08534556973202066
17.3966,1.27649,0.07337583205913799
16.5819,1.49949,0.090429323539522
16.6447,1.14013,0.06849808047005954
15.0527,1.36663,0.09078969221468575
16.3423,1.03719,0.06346658671056093
15.3582,1.292,0.08412444166634112
16.1015,1.42243,0.08834145887029159
19.4936,1.54317,0.07916290474822506
17.2136,1.66518,0.09673630152902357
17.756,1.65281,0.09308459112412705
17.0627,1.92934,0.11307354639066503
16.424,1.6686,0.1015952264978081
17.8769,1.16994,0.06544423250116072
16.9512,1.3098,0.07726886592099674
20.4956,1.65136,0.080571439723648
18.2638,1.67394,0.09165343466310406
19.3655,1.59812,0.08252407632129302
20.9408,1.02363,0.04888208664425428
20.16,1.33149,0.06604613095238096
18.4734,1.70757,0.09243398616388969
19.225,1.48776,0.07738673602080623
18.0905,1.85807,0.10270970951604434
16.339,1.22904,0.07522124977048779
15.9195,1.52146,0.09557209711360282
17.8373,1.45802,0.08173994943180864
18.78,1.45115,0.07727103301384451
18.3794,1.4754,0.0802746553206307
17.8828,1.1328,0.06334578477643323
17.4267,1.5069,0.08647076038492657
17.7597,1.67964,0.09457592189057248
15.6998,1.36923,0.0872132129071708
16.5608,0.758925,0.045826590502874257
17.8836,1.09378,0.06116106376792144
18.5581,1.34618,0.07253867583427183
18.7323,1.04339,0.055700047511517546
18.802,1.45609,0.07744335708967132
17.3782,1.51678,0.08728061594411389
18.3419,1.84609,0.10064878774827037
17.9449,1.09269,0.06089139532680594
16.6182,1.23578,0.07436304774283617
17.7663,0.909671,0.05120205107422479
15.9126,1.09211,0.06863177607681963
15.1917,1.40694,0.09261241335729378
16.196,1.49647,0.09239750555692762
16.0273,1.83818,0.11469055923330816
16.784,1.02993,0.06136379885605339
16.4837,1.56738,0.09508666136850344
15.8091,1.3442,0.08502697813284754
16.9325,1.24983,0.07381249077218367
16.7939,1.00057,0.05957937108116637
17.2594,1.07511,0.06229127316129182
15.9704,1.03385,0.06473538546310674
15.589,1.21949,0.07822759638206427
15.3776,1.58078,0.10279757569451671
16.0716,1.32449,0.08241183205156923
16.1858,1.59977,0.09883787023193169
16.1775,1.78331,0.11023396692937723
15.3823,2.10783,0.13702957295072907
17.6809,1.35323,0.07653626229434021
16.2783,1.97896,0.12157043425910567
17.9726,1.49418,0.08313655230740127
18.4258,1.29364,0.0702080778039488
18.2079,1.66628,0.09151412299057003
19.1006,1.09639,0.057400814634095264
18.8315,1.22848,0.065235376895096
18.7723,1.70024,0.09057174666929464
19.4877,1.21844,0.06252354048964218
